product_id,product_name,category,subcategory,brand,selling_price,unit_cost,stock_quantity
GGOEAKBB010299,Google Campus Laptop Backpack,Bags,Bags,Standard Brand,65.0,,100
GGOEAAEB099214,Chrome Dino Socks,Apparel,Apparel,Standard Brand,12.5,,100
GGOEGFKQ014499,Google Cloud White Tee,Apparel,Apparel,Standard Brand,24.99,,100
GGOEGAXB098810,Google Thermal Travel Tumbler,Drinkware,Drinkware,Standard Brand,26.5,,100
GGOEGAAB010516,Android Collectible Figurine,Accessories,Accessories,Standard Brand,18.0,,100
GGOEFAAB010617,Google Rainbow Enamel Pin,Accessories,Accessories,Standard Brand,6.5,,100
GGOEYHPB098810,YouTube Crewneck Sweatshirt,Apparel,Apparel,Standard Brand,48.0,,100
GGOEGBJR013999,Google Stainless Steel Water Bottle,Drinkware,Drinkware,Standard Brand,22.0,,100
GGOEGDHH087299,Nest Audio Smart Speaker,Electronics,Electronics,Standard Brand,99.98999999999998,,100
GGOEGFXQ016399,Pixel Stand Wireless Charger,Electronics,Electronics,Standard Brand,79.0,,100
